PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,2015,0.1,0.36,1.13,3.24,1.55,0.35,0.57,0.43,0.04,1.46,5.37,2.92,1.46
PRECTOTCORR,2016,1.53,0.62,0.53,3.58,1.16,0.63,0.1,0.24,0.2,0.26,5.03,1.42,1.27
PRECTOTCORR,2017,0.21,0.86,0.46,2.35,3.26,0.41,0.37,0.41,0.69,1.75,4.01,1.16,1.33
PRECTOTCORR,2018,0.13,0.1,5.13,7.33,2.33,0.43,0.56,0.29,0.36,1.18,1.83,2.87,1.89
PRECTOTCORR,2019,0.82,0.19,0.13,1.47,1.64,0.65,0.3,0.29,0.4,6.64,5.28,5.35,1.94
PRECTOTCORR,2020,2.39,1.33,2.02,3.52,1.08,0.59,0.38,0.39,0.73,1.9,5.15,2.1,1.79
PRECTOTCORR,2021,0.51,0.96,1.01,2.31,2.17,0.31,0.53,0.36,0.12,1.0,1.91,5.14,1.37
PRECTOTCORR,2022,0.62,0.68,0.83,2.49,0.7,0.34,0.84,0.62,1.33,0.71,3.6,1.15,1.15
PRECTOTCORR,2023,0.86,0.05,1.1,8.6,1.49,1.14,0.5,0.49,0.23,2.88,9.2,1.48,2.33
PRECTOTCORR,2024,1.12,0.76,1.62,3.91,1.39,0.29,0.45,0.46,0.16,0.21,7.15,1.31,1.56
PRECTOTCORR,2025,1.09,0.06,2.18,4.08,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
T2M,2015,24.62,26.16,25.72,25.14,24.04,22.84,22.18,22.54,24.14,25.22,24.26,24.26,24.25
T2M,2016,25.09,25.5,27.18,25.18,23.54,22.38,21.79,22.37,23.03,24.81,23.97,24.47,24.11
T2M,2017,25.05,25.56,26.83,25.42,23.52,23.07,22.35,22.95,23.65,24.9,23.79,24.25,24.27
T2M,2018,25.07,26.01,24.47,23.32,22.34,21.18,20.98,21.64,23.32,24.02,24.66,24.34,23.43
T2M,2019,24.93,26.24,27.17,26.51,24.19,23.04,22.84,23.32,24.28,23.74,23.54,23.29,24.41
T2M,2020,23.65,24.85,24.99,24.09,23.29,22.56,22.0,22.53,23.45,24.8,23.92,24.06,23.68
T2M,2021,24.31,25.11,25.67,25.02,23.16,21.96,21.5,22.52,23.75,24.84,25.04,23.4,23.85
T2M,2022,24.52,25.64,26.29,25.36,24.16,22.58,21.36,21.86,22.64,24.07,23.91,24.45,23.89
T2M,2023,24.28,26.09,25.86,23.5,23.44,22.28,21.92,22.67,24.38,24.88,23.11,23.68,23.83
T2M,2024,24.37,25.84,25.91,24.15,24.04,22.83,22.4,23.06,24.37,25.69,24.81,24.66,24.34
T2M,2025,25.43,25.79,25.91,24.85,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0

PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,2015,0.1,0.36,1.13,3.24,1.55,0.35,0.57,0.43,0.04,1.46,5.37,2.92,1.46
PRECTOTCORR,2016,1.53,0.62,0.53,3.58,1.16,0.63,0.1,0.24,0.2,0.26,5.03,1.42,1.27
PRECTOTCORR,2017,0.21,0.86,0.46,2.35,3.26,0.41,0.37,0.41,0.69,1.75,4.01,1.16,1.33
PRECTOTCORR,2018,0.13,0.1,5.13,7.33,2.33,0.43,0.56,0.29,0.36,1.18,1.83,2.87,1.89
PRECTOTCORR,2019,0.82,0.19,0.13,1.47,1.64,0.65,0.3,0.29,0.4,6.64,5.28,5.35,1.94
PRECTOTCORR,2020,2.39,1.33,2.02,3.52,1.08,0.59,0.38,0.39,0.73,1.9,5.15,2.1,1.79
PRECTOTCORR,2021,0.51,0.96,1.01,2.31,2.17,0.31,0.53,0.36,0.12,1.0,1.91,5.14,1.37
PRECTOTCORR,2022,0.62,0.68,0.83,2.49,0.7,0.34,0.84,0.62,1.33,0.71,3.6,1.15,1.15
PRECTOTCORR,2023,0.86,0.05,1.1,8.6,1.49,1.14,0.5,0.49,0.23,2.88,9.2,1.48,2.33
PRECTOTCORR,2024,1.12,0.76,1.62,3.91,1.39,0.29,0.45,0.46,0.16,0.21,7.15,1.31,1.56
PRECTOTCORR,2025,1.09,0.06,2.18,4.08,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
T2M,2015,24.62,26.16,25.72,25.14,24.04,22.84,22.18,22.54,24.14,25.22,24.26,24.26,24.25
T2M,2016,25.09,25.5,27.18,25.18,23.54,22.38,21.79,22.37,23.03,24.81,23.97,24.47,24.11
T2M,2017,25.05,25.56,26.83,25.42,23.52,23.07,22.35,22.95,23.65,24.9,23.79,24.25,24.27
T2M,2018,25.07,26.01,24.47,23.32,22.34,21.18,20.98,21.64,23.32,24.02,24.66,24.34,23.43
T2M,2019,24.93,26.24,27.17,26.51,24.19,23.04,22.84,23.32,24.28,23.74,23.54,23.29,24.41
T2M,2020,23.65,24.85,24.99,24.09,23.29,22.56,22.0,22.53,23.45,24.8,23.92,24.06,23.68
T2M,2021,24.31,25.11,25.67,25.02,23.16,21.96,21.5,22.52,23.75,24.84,25.04,23.4,23.85
T2M,2022,24.52,25.64,26.29,25.36,24.16,22.58,21.36,21.86,22.64,24.07,23.91,24.45,23.89
T2M,2023,24.28,26.09,25.86,23.5,23.44,22.28,21.92,22.67,24.38,24.88,23.11,23.68,23.83
T2M,2024,24.37,25.84,25.91,24.15,24.04,22.83,22.4,23.06,24.37,25.69,24.81,24.66,24.34
T2M,2025,25.43,25.79,25.91,24.85,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0

PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,2015,0.1,0.36,1.13,3.24,1.55,0.35,0.57,0.43,0.04,1.46,5.37,2.92,1.46
PRECTOTCORR,2016,1.53,0.62,0.53,3.58,1.16,0.63,0.1,0.24,0.2,0.26,5.03,1.42,1.27
PRECTOTCORR,2017,0.21,0.86,0.46,2.35,3.26,0.41,0.37,0.41,0.69,1.75,4.01,1.16,1.33
PRECTOTCORR,2018,0.13,0.1,5.13,7.33,2.33,0.43,0.56,0.29,0.36,1.18,1.83,2.87,1.89
PRECTOTCORR,2019,0.82,0.19,0.13,1.47,1.64,0.65,0.3,0.29,0.4,6.64,5.28,5.35,1.94
PRECTOTCORR,2020,2.39,1.33,2.02,3.52,1.08,0.59,0.38,0.39,0.73,1.9,5.15,2.1,1.79
PRECTOTCORR,2021,0.51,0.96,1.01,2.31,2.17,0.31,0.53,0.36,0.12,1.0,1.91,5.14,1.37
PRECTOTCORR,2022,0.62,0.68,0.83,2.49,0.7,0.34,0.84,0.62,1.33,0.71,3.6,1.15,1.15
PRECTOTCORR,2023,0.86,0.05,1.1,8.6,1.49,1.14,0.5,0.49,0.23,2.88,9.2,1.48,2.33
PRECTOTCORR,2024,1.12,0.76,1.62,3.91,1.39,0.29,0.45,0.46,0.16,0.21,7.15,1.31,1.56
PRECTOTCORR,2025,1.09,0.06,2.18,4.08,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
T2M,2015,24.62,26.16,25.72,25.14,24.04,22.84,22.18,22.54,24.14,25.22,24.26,24.26,24.25
T2M,2016,25.09,25.5,27.18,25.18,23.54,22.38,21.79,22.37,23.03,24.81,23.97,24.47,24.11
T2M,2017,25.05,25.56,26.83,25.42,23.52,23.07,22.35,22.95,23.65,24.9,23.79,24.25,24.27
T2M,2018,25.07,26.01,24.47,23.32,22.34,21.18,20.98,21.64,23.32,24.02,24.66,24.34,23.43
T2M,2019,24.93,26.24,27.17,26.51,24.19,23.04,22.84,23.32,24.28,23.74,23.54,23.29,24.41
T2M,2020,23.65,24.85,24.99,24.09,23.29,22.56,22.0,22.53,23.45,24.8,23.92,24.06,23.68
T2M,2021,24.31,25.11,25.67,25.02,23.16,21.96,21.5,22.52,23.75,24.84,25.04,23.4,23.85
T2M,2022,24.52,25.64,26.29,25.36,24.16,22.58,21.36,21.86,22.64,24.07,23.91,24.45,23.89
T2M,2023,24.28,26.09,25.86,23.5,23.44,22.28,21.92,22.67,24.38,24.88,23.11,23.68,23.83
T2M,2024,24.37,25.84,25.91,24.15,24.04,22.83,22.4,23.06,24.37,25.69,24.81,24.66,24.34
T2M,2025,25.43,25.79,25.91,24.85,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0

PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,2023,0.86,0.05,1.1,8.6,1.49,1.14,0.5,0.49,0.23,2.88,9.2,1.48,2.33
PRECTOTCORR,2024,1.12,0.76,1.62,3.91,1.39,0.29,0.45,0.46,0.16,0.21,7.15,1.31,1.56
PRECTOTCORR,2025,1.09,0.06,2.18,4.08,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
T2M,2023,24.28,26.09,25.86,23.5,23.44,22.28,21.92,22.67,24.38,24.88,23.11,23.68,23.83
T2M,2024,24.37,25.84,25.91,24.15,24.04,22.83,22.4,23.06,24.37,25.69,24.81,24.66,24.34
T2M,2025,25.43,25.79,25.91,24.85,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0

PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,2023,0.73,0.01,0.9,4.54,0.12,2.27,0.13,0.16,0.03,3.05,7.94,0.7,1.71
PRECTOTCORR,2024,0.25,1.78,0.2,3.27,1.86,0.01,0.07,0.35,0.08,0.07,2.66,0.27,0.89
PRECTOTCORR,2025,0.12,0.03,1.73,4.02,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
T2M,2023,28.15,29.61,29.97,28.11,28.62,26.78,26.75,27.64,29.22,28.88,26.15,27.8,28.13
T2M,2024,28.51,29.31,30.72,28.93,28.92,28.04,27.72,27.76,29.06,30.51,28.5,29.11,28.93
